Date,Force
08-07-2018,0.045625
09-07-2018,0.616053
10-07-2018,0.499894
11-07-2018,0.475597
12-07-2018,0.377846
13-07-2018,0.362078
14-07-2018,0.362078
15-07-2018,0.186
16-07-2018,0.186
17-07-2018,0.186
18-07-2018,0.248205
19-07-2018,0.147103
20-07-2018,0.110577
21-07-2018,0.159244
22-07-2018,0.193137
23-07-2018,0.2124
24-07-2018,0.2
25-07-2018,0.191111
26-07-2018,0.196311
27-07-2018,0.18155
28-07-2018,0.147007
29-07-2018,0.019007
30-07-2018,0.005154
31-07-2018,0.033571
01-08-2018,0.107943
02-08-2018,0.172778
03-08-2018,0.172778
04-08-2018,0.172778
05-08-2018,0.159831
06-08-2018,0.09662
07-08-2018,0.092695
08-08-2018,0.094676
09-08-2018,0.141655
10-08-2018,0.087554
11-08-2018,0.077092
12-08-2018,0.07812
13-08-2018,0.075115
14-08-2018,0.037842
15-08-2018,0.081511
16-08-2018,0.109855
17-08-2018,0.152899
18-08-2018,0.121805
19-08-2018,0.133261
20-08-2018,0.091056
21-08-2018,0.146338
22-08-2018,0.117174
23-08-2018,0.163704
24-08-2018,0.176383
25-08-2018,0.185693
26-08-2018,0.146087
27-08-2018,0.155177
28-08-2018,0.136056
29-08-2018,0.138723
30-08-2018,0.077622
31-08-2018,0.134857
01-09-2018,0.132256
02-09-2018,0.194275
03-09-2018,0.167143
04-09-2018,0.197368
05-09-2018,0.126321
06-09-2018,0.09229
07-09-2018,0.131538
08-09-2018,0.113817
09-09-2018,0.101277
10-09-2018,0.114463
11-09-2018,0.173966
12-09-2018,0.10219
13-09-2018,0.143613
14-09-2018,0.142782
15-09-2018,0.197714
16-09-2018,0.192628
17-09-2018,0.22007
18-09-2018,0.257286
19-09-2018,0.285109
20-09-2018,0.369143
21-09-2018,0.430071
22-09-2018,0.121154
23-09-2018,0.1036
24-09-2018,0.109925
25-09-2018,0.106593
26-09-2018,0.188929
27-09-2018,0.197574
28-09-2018,0.181489
29-09-2018,0.169124
30-09-2018,0.173824
01-10-2018,0.15539
02-10-2018,0.141583
03-10-2018,0.142908
04-10-2018,0.091277
05-10-2018,0.095725
06-10-2018,0.124964
07-10-2018,0.053094
08-10-2018,0.003456
09-10-2018,0.005652
10-10-2018,0.0265
11-10-2018,0.082518
12-10-2018,0.000071
13-10-2018,0
14-10-2018,0
15-10-2018,0
16-10-2018,0
17-10-2018,0
18-10-2018,0
19-10-2018,0
20-10-2018,0
21-10-2018,0
22-10-2018,0
23-10-2018,0
24-10-2018,0
25-10-2018,0
26-10-2018,0
27-10-2018,0
28-10-2018,0
29-10-2018,0
30-10-2018,0.003286
31-10-2018,0.005746
01-11-2018,0.000233
02-11-2018,0.042072
03-11-2018,0.042072
04-11-2018,0.042072
05-11-2018,0.042072
06-11-2018,0.075319
07-11-2018,0.052748
08-11-2018,0.045984
09-11-2018,0.023876
10-11-2018,0
11-11-2018,0
12-11-2018,0
13-11-2018,0.008279
14-11-2018,0.008279
15-11-2018,0.008279
16-11-2018,0.008279
17-11-2018,0.007302
18-11-2018,0.011111
19-11-2018,0.00028
20-11-2018,0.00838
21-11-2018,0.006269
22-11-2018,0.006738
23-11-2018,0.008531
24-11-2018,0.024155
25-11-2018,0.022353
